Дата аукциона,Код  выпуска,Тип бумаги,Дата погашения,Дней до погашения,Объем предложения,Цена отсечения,Цена средневзвешенная,Доходность по цене отсечения,Доходность по средневзве- шенной цене,Совокупный объем спроса по номиналу,Объем размещения по номиналу,Объем выручки,Коэффициент активности,Коэффициент размещения на аукционе,source_file,Доходность по цене отсечения*,Доходность по средневзве- шенной цене*,Тип бумаги*,Доходность по цене отсечения**,Доходность по средневзве- шенной цене**,Коэффициент удовлетворения спроса на аукционе,Дата,Формат*,Тип бумаги**,Доходность по цене отсечения***,Доходность по средневзве- шенной цене***
2015-07-08 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1407.0,5000.0,86.79,86.8807,11.29,11.29,15960.713,2863.612,2513.69809253,3.1921426,0.5727224,ofz_2015.xlsx,,,,,,,,,,,
2015-07-22 00:00:00.000000000,26212RMFS,ОФЗ-ПД,2028-01-19 00:00:00.000000000,4564.0,10000.0,77.2111,77.3379,10.6,10.58,11480.187,7473.635,6022.47484728,1.1480187,0.7473635,ofz_2015.xlsx,,,,,,,,,,,
2015-07-22 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1771.0,5000.0,84.65,84.7016,10.79,10.78,6485.0,2350.0,2010.67293,1.297,0.47,ofz_2015.xlsx,,,,,,,,,,,
2015-07-29 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,882.0,10000.0,101.7,101.8379,14.91,14.84,24256.0,9999.995,10301.0,2.4256,0.9999995,ofz_2015.xlsx,,,,,,,,,,,
2015-08-05 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1638.0,10000.0,101.6,101.6325,14.41,14.4,10656.628,2528.014,2569.284078,1.0656628,0.2528014,ofz_2015.xlsx,,,,,,,,,,,
2015-08-05 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3465.0,5000.0,102.01,102.01,12.67,12.67,4917.797,313.876,339.23718,0.9835594,0.0627752,ofz_2015.xlsx,,,,,,,,,,,
2015-08-12 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,868.0,10000.0,102.0,102.0515,14.73,14.71,12448.601,6161.944,6396.62199226,1.2448601,0.6161944,ofz_2015.xlsx,,,,,,,,,,,
2015-08-19 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1624.0,5000.0,101.5,101.5067,14.44,14.44,7199.0,985.0,1005.288325,1.4398,0.197,ofz_2015.xlsx,,,,,,,,,,,
2015-08-19 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1365.0,5000.0,87.3155,87.367,11.21,11.19,15284.471,4999.997,4451.89782886,3.0568942,0.9999994,ofz_2015.xlsx,,,,,,,,,,,
2015-09-02 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,847.0,8316.185,101.75,101.7826,14.84,14.82,6353.053,1929.501,2014.75800534,0.76393839242393,0.23201756574679,ofz_2015.xlsx,,,,,,,,,,,
2015-09-09 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1722.0,5000.0,81.861,81.9115,11.81,11.79,16470.0,5000.0,4181.4732,3.294,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-09-09 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1603.0,5000.0,100.7,100.764,14.69,14.67,7730.353,3559.599,3636.02424453,1.5460706,0.7119198,ofz_2015.xlsx,,,,,,,,,,,
2015-09-16 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,2891.0,7807.752,78.9,78.9604,11.37,11.36,21579.795,7807.75,6196.4949385,2.7638934996911,0.99999974384432,ofz_2015.xlsx,,,,,,,,,,,
2015-09-16 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,833.0,6386.684,101.55,101.6358,14.94,14.89,3405.228,2755.106,2888.91623149,0.53317621476184,0.43138285845988,ofz_2015.xlsx,,,,,,,,,,,
2015-09-23 00:00:00.000000000,26212RMFS,ОФЗ-ПД,2028-01-19 00:00:00.000000000,4501.0,10000.0,74.76,74.9232,11.09,11.06,16571.212,9999.999,7586.91490531,1.6571212,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-09-23 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1589.0,5000.0,100.901,100.9726,14.62,14.6,12708.864,5000.0,5145.43049,2.5417728,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-09-30 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1701.0,10000.0,83.16,83.2094,11.43,11.42,36336.751,9999.999,8529.54214704,3.6336751,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-09-30 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3409.0,5000.0,100.9,101.1148,14.8,14.76,10949.992,4999.998,5152.93894312,2.1899984,0.9999996,ofz_2015.xlsx,,,,,,,,,,,
2015-10-07 00:00:00.000000000,26212RMFS,ОФЗ-ПД,2028-01-19 00:00:00.000000000,4487.0,7765.579,78.9222,79.0826,10.33,10.3,33255.574,7765.575,6235.72486269,4.2824332866873,0.99999948490641,ofz_2015.xlsx,,,,,,,,,,,
2015-10-07 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1575.0,10000.0,101.575,101.5821,14.39,14.39,37384.809,9999.995,10407.10509642,3.7384809,0.9999995,ofz_2015.xlsx,,,,,,,,,,,
2015-10-14 00:00:00.000000000,52001RMFS,ОФЗ-ИН,2023-08-16 00:00:00.000000000,2863.0,20221.8,95.6,95.6533,3.28,3.27,92616.38291097,20221.79191128,19410.60631752,4.58002665,0.9999996,ofz_2015.xlsx,,,,,,,,,,,
2015-10-21 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1680.0,12500.0,87.07,87.1677,10.22,10.18,45494.788,11999.993,10761.69491557,3.63958304,0.95999944,ofz_2015.xlsx,,,,,,,,,,,
2015-10-21 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,798.0,12500.0,101.7,101.7141,14.82,14.8,9391.204,4817.166,5125.599356628,0.75129632,0.38537328,ofz_2015.xlsx,,,,,,,,,,,
2015-10-28 00:00:00.000000000,26207RMFS,ОФЗ-ПД,2027-02-03 00:00:00.000000000,4116.0,15000.0,88.86,88.9789,10.04,10.02,51126.746,14999.998,13581.28588922,3.4084497333333,0.99999986666667,ofz_2015.xlsx,,,,,,,,,,,
2015-10-28 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3381.0,5000.0,101.481,101.5252,14.68,14.67,9607.31,5000.0,5229.01095,1.921462,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-11-11 00:00:00.000000000,52001RMFS,ОФЗ-ИН,2023-08-16 00:00:00.000000000,2835.0,30507.3,99.15,99.4144,2.76,2.72,73213.20321705,30507.29491545,30489.45498413,2.3998585,0.99999983333333,ofz_2015.xlsx,,,,,,,,,,,
2015-11-18 00:00:00.000000000,26207RMFS,ОФЗ-ПД,2027-02-03 00:00:00.000000000,4095.0,10000.0,92.4114,92.5012,9.46,9.45,29313.194,9999.998,9453.32135133,2.9313194,0.9999998,ofz_2015.xlsx,,,,,,,,,,,
2015-11-18 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1533.0,5000.0,101.82,101.8413,14.29,14.29,17184.11,4999.999,5299.46194032,3.436822,0.9999998,ofz_2015.xlsx,,,,,,,,,,,
2015-11-25 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1645.0,5000.0,87.11,87.299,10.27,10.21,7925.0,3525.0,3185.4354,1.585,0.705,ofz_2015.xlsx,,,,,,,,,,,
2015-11-25 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,763.0,10000.0,101.31,101.3456,15.02,15.0,3985.0,1285.0,1381.3185,0.3985,0.1285,ofz_2015.xlsx,,,,,,,,,,,
2015-12-02 00:00:00.000000000,26207RMFS,ОФЗ-ПД,2027-02-03 00:00:00.000000000,4081.0,7200.0,92.3302,92.4025,9.48,9.47,15335.0,7200.0,6821.817455,2.1298611111111,1.0,ofz_2015.xlsx,,,,,,,,,,,
